name,wins,losses,draws,height_cm,weight_in_kg,reach_in_cm,stance,significant_strikes_landed_per_minute,significant_striking_accuracy,significant_strikes_absorbed_per_minute,significant_strike_defence,average_takedowns_landed_per_15_minutes,takedown_accuracy,takedown_defense,average_submissions_attempted_per_15_minutes,age
Jeff Crotty,1,1,0,178.23432467873064,70.31,180.70495018353435,Orthodox,0.93,35.0,3.33,54.0,5.0,38.0,0.0,1.0,38
Sam Greco,3,1,1,187.96,92.99,187.96,Orthodox,2.4,75.0,1.33,53.0,0.0,0.0,25.0,1.0,57
Ricco Rodriguez,53,25,0,193.04,120.2,193.04,Orthodox,1.85,51.0,1.15,61.0,2.3,39.0,40.0,1.0,47
Jay Hieron,23,7,0,182.88,77.11,190.5,Orthodox,1.66,32.0,1.89,61.0,4.05,60.0,66.0,1.0,48
Sung Bin Jo,9,1,0,182.88,65.77,182.88,Orthodox,1.4,33.0,2.67,51.0,1.0,33.0,83.0,1.0,32
Art Arciniega,15,7,0,172.72,65.77,172.72,Orthodox,1.53,46.0,2.73,51.0,0.0,0.0,50.0,1.0,38
Isabela de Padua,5,2,0,160.02,56.7,162.56,Orthodox,1.0,35.0,2.07,50.0,2.0,66.0,0.0,1.0,33
Lucas Fernando,9,2,0,190.5,83.91,203.2,Orthodox,1.87,51.0,4.73,38.0,3.0,30.0,0.0,1.0,38
Rafael Silva,28,6,0,170.18,61.23,170.18,Orthodox,0.67,50.0,0.73,67.0,0.0,0.0,25.0,1.0,38
Hyder Amil,8,0,0,175.26,65.77,177.8,Switch,1.73,52.0,1.47,53.0,0.0,0.0,78.0,1.0,34
Vaughan Lee,14,13,1,167.64,56.7,167.64,Orthodox,3.47,47.0,2.07,70.0,0.81,33.0,72.0,1.0,42
Ryan Healy,25,14,1,185.42,70.31,185.42,Orthodox,1.67,35.0,3.0,38.0,3.0,50.0,40.0,1.0,41
Joao Zeferino,21,9,0,180.34,77.11,180.34,Orthodox,0.83,36.0,2.6,48.0,0.5,5.0,50.0,1.0,39
Virna Jandiroba,19,3,0,160.02,52.16,162.56,Orthodox,2.34,40.0,3.03,56.0,2.42,39.0,73.0,1.0,36
Miles McDonald,2,1,0,170.18,52.16,170.18,Orthodox,5.1,45.0,4.0,43.0,0.0,0.0,100.0,1.0,38
Korey Kuppe,8,4,0,195.58,77.11,195.58,Switch,0.73,73.0,1.33,31.0,0.0,0.0,69.0,1.0,36
Patrick Murphy,5,3,0,182.88,77.11,182.88,Orthodox,3.4,66.0,0.8,42.0,0.0,0.0,50.0,1.0,38
Nick Diaz,26,10,0,185.42,77.11,193.04,Southpaw,5.71,42.0,3.84,59.0,1.28,32.0,60.0,1.0,41
Akitoshi Tamura,21,18,2,175.26,61.23,177.8,Orthodox,3.73,43.0,1.94,78.0,0.0,0.0,20.0,1.0,44
Eric Schambari,15,6,0,180.34,83.91,180.34,Orthodox,1.43,42.0,1.07,54.0,3.0,42.0,0.0,1.0,46
Markus Perez,12,5,0,185.42,83.91,185.42,Orthodox,2.6,47.0,3.72,52.0,0.81,25.0,77.0,1.0,36
Greg Soto,9,4,0,180.34,77.11,185.42,Orthodox,3.21,63.0,2.61,52.0,1.49,27.0,44.0,1.0,38
Mike French,9,10,0,177.8,65.77,177.8,Orthodox,0.23,23.0,2.17,42.0,0.0,0.0,22.0,1.0,38
Karl Amoussou,27,7,2,180.34,83.91,180.34,Orthodox,1.47,34.0,2.67,54.0,0.0,0.0,25.0,1.0,39
Luke Rockhold,16,6,0,190.5,83.91,195.58,Southpaw,4.1,49.0,2.68,53.0,0.7,29.0,65.0,1.0,40
Brett Johns,17,2,0,170.18,61.23,180.34,Orthodox,2.86,49.0,3.84,53.0,4.92,49.0,58.0,1.0,33
Rogerio Bontorin,16,4,0,165.1,56.7,170.18,Orthodox,2.63,52.0,3.27,50.0,2.9,60.0,51.0,1.0,32
Chris Mierzwiak,5,3,0,185.42,83.91,185.42,Orthodox,1.6,61.0,1.73,48.0,2.0,28.0,0.0,1.0,38
Sergei Kharitonov,26,6,0,182.88,111.13,182.88,Orthodox,3.9,44.0,3.03,54.0,1.16,53.0,70.0,1.0,44
Emil Meek,9,5,1,180.34,77.11,187.96,Switch,2.52,39.0,2.53,38.0,0.25,33.0,47.0,1.0,36
Yoshihiro Akiyama,14,6,0,177.8,77.11,190.5,Orthodox,3.1,41.0,3.62,57.0,2.29,67.0,92.0,1.0,49
Saul Elizondo,6,8,0,170.18,61.23,170.18,Orthodox,2.07,30.0,4.93,48.0,2.0,100.0,66.0,1.0,38
Islam Makhachev,25,1,0,177.8,70.31,177.8,Southpaw,2.46,60.0,1.27,61.0,3.17,60.0,90.0,1.0,33
Luis Henrique,10,5,0,187.96,110.22,187.96,Orthodox,1.81,43.0,2.22,47.0,3.09,36.0,50.0,1.0,31
