name,wins,losses,draws,height_cm,weight_in_kg,reach_in_cm,stance,significant_strikes_landed_per_minute,significant_striking_accuracy,significant_strikes_absorbed_per_minute,significant_strike_defence,average_takedowns_landed_per_15_minutes,takedown_accuracy,takedown_defense,average_submissions_attempted_per_15_minutes,age,strike_differential,win_percentage,weight_class
Kasey Tanner,6,1,0,170.18,61.23,175.26,Orthodox,6.6,50.0,6.67,63.0,2.0,33.0,0.0,0.0,33,-0.07000000000000028,0.8571428571428571,Bantamweight
Ashlee Evans-Smith,6,6,0,172.72,61.23,170.18,Orthodox,4.03,34.0,4.59,53.0,0.95,22.0,50.0,0.0,37,-0.5599999999999996,0.5,Bantamweight
Brendan Loughnane,17,3,0,177.8,65.77,177.8,Switch,6.23,63.0,6.7,53.0,1.5,30.0,92.0,0.0,35,-0.46999999999999975,0.85,Featherweight
Joao Pierini,4,1,0,185.42,70.31,185.42,Switch,0.76,14.0,4.56,33.0,0.0,0.0,0.0,0.0,53,-3.8,0.8,Lightweight
Gaston Bolanos,7,3,0,170.18,61.23,175.26,Orthodox,4.2,49.0,1.13,56.0,0.0,0.0,40.0,0.0,32,3.0700000000000003,0.7,Bantamweight
Thomas Gifford,14,9,0,185.42,70.31,190.5,Orthodox,3.97,37.0,6.45,37.0,0.5,33.0,33.0,0.0,32,-2.48,0.6086956521739131,Lightweight
Tyrone Roberts,43,12,1,175.26,83.91,175.26,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,0.0,0.7678571428571429,Middleweight
Joe Brammer,7,3,1,172.72,70.31,172.72,Orthodox,2.15,31.0,2.8,56.0,0.81,50.0,50.0,0.0,41,-0.6499999999999999,0.6363636363636364,Lightweight
Christian Leroy Duncan,9,1,0,187.96,83.91,200.66,Switch,5.06,59.0,4.68,47.0,0.0,0.0,50.0,0.0,29,0.3799999999999999,0.9,Middleweight
Joel Sutton,2,4,1,180.34,92.99,180.34,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,0.0,0.2857142857142857,Light Heavyweight
Pablo Villaseca,12,3,0,170.18,70.31,170.18,Orthodox,2.79,42.0,3.25,65.0,2.5,50.0,33.0,0.0,38,-0.45999999999999996,0.8,Lightweight
George Stork,7,9,0,177.8,83.91,177.8,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,0.0,0.4375,Middleweight
Lance Benoist,7,2,0,180.34,77.11,182.88,Southpaw,3.68,51.0,2.7,56.0,1.5,33.0,61.0,0.0,36,0.98,0.7777777777777778,Welterweight
Felipe Olivieri,14,5,0,175.26,70.31,175.26,Orthodox,6.68,58.0,4.6,57.0,0.0,0.0,71.0,0.0,40,2.08,0.7368421052631579,Lightweight
Tiffany Masters,2,1,0,160.02,52.16,165.1,Orthodox,3.53,62.0,2.58,50.0,3.06,60.0,0.0,0.0,30,0.9499999999999997,0.6666666666666666,Flyweight
Dave Dalgliesh,30,19,2,187.96,92.99,187.96,Orthodox,0.0,0.0,1.85,50.0,0.0,0.0,0.0,0.0,47,-1.85,0.5882352941176471,Light Heavyweight
Jason Jackson,7,2,0,185.42,77.11,198.12,Orthodox,2.24,48.0,1.31,56.0,0.0,0.0,0.0,0.0,34,0.9300000000000002,0.7777777777777778,Welterweight
Alberto Mina,13,1,0,182.88,77.11,195.58,Orthodox,3.23,38.0,3.7,47.0,1.85,20.0,50.0,0.0,43,-0.4700000000000002,0.9285714285714286,Welterweight
Anthony Avila,13,5,0,170.18,65.77,170.18,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,0.0,0.7222222222222222,Featherweight
Joe Schilling,2,5,0,190.5,83.91,190.5,Orthodox,2.84,52.0,2.64,48.0,0.0,0.0,44.0,0.0,38,0.19999999999999973,0.2857142857142857,Middleweight
Jhonoven Pati,6,4,0,185.42,83.91,190.5,Switch,2.88,53.0,6.13,33.0,2.7,100.0,0.0,0.0,34,-3.25,0.6,Middleweight
Mo Miller,6,0,0,172.72,61.23,182.88,Orthodox,1.87,45.0,1.33,60.0,4.0,80.0,0.0,0.0,32,0.54,1.0,Bantamweight
Yuya Shirai,26,14,2,172.72,76.2,172.72,Orthodox,1.02,100.0,4.07,55.0,0.0,0.0,0.0,0.0,45,-3.0500000000000003,0.6190476190476191,Lightweight
Sarah Payant,1,4,0,162.56,52.16,162.56,Orthodox,0.29,16.0,2.06,30.0,0.0,0.0,0.0,0.0,38,-1.77,0.2,Flyweight
Boston Salmon,6,3,0,175.26,61.23,175.26,Southpaw,4.13,37.0,7.75,59.0,0.0,0.0,100.0,0.0,34,-3.62,0.6666666666666666,Bantamweight
Maka Watson,4,2,0,178.23432467873064,70.31,180.70495018353435,Orthodox,0.93,37.0,1.6,22.0,2.0,100.0,33.0,0.0,38,-0.67,0.6666666666666666,Lightweight
Jerry Bohlander,11,4,0,180.34,90.26,180.34,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51,0.0,0.7333333333333333,Middleweight
Landon Showalter,11,19,1,182.88,83.91,182.88,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,0.0,0.3548387096774194,Middleweight
Nariman Abbasov,28,4,0,172.72,70.31,167.64,Orthodox,3.0,20.0,5.67,46.0,0.0,0.0,66.0,0.0,31,-2.67,0.875,Lightweight
Justin Davis,13,16,0,180.34,92.99,180.34,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,0.0,0.4482758620689655,Light Heavyweight
Reynaldo Trujillo,21,19,0,175.26,70.31,175.26,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,0.0,0.525,Lightweight
Kyle Noblitt,11,2,0,187.96,110.22,187.96,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,0.0,0.8461538461538461,Light Heavyweight
Tony Sylvester,11,3,0,185.42,102.06,185.42,Southpaw,0.0,0.0,10.12,12.0,0.0,0.0,0.0,0.0,47,-10.12,0.7857142857142857,Light Heavyweight
George Zuniga,3,1,0,175.26,83.91,175.26,Orthodox,7.64,38.0,5.45,37.0,0.0,0.0,100.0,0.0,38,2.1899999999999995,0.75,Middleweight
Rex Richards,7,2,0,195.58,120.2,195.58,Orthodox,17.65,58.0,5.29,72.0,0.0,0.0,0.0,0.0,38,12.36,0.7777777777777778,Light Heavyweight
Cory Hendricks,3,1,0,190.5,92.99,190.5,Switch,3.13,39.0,4.07,42.0,0.0,0.0,100.0,0.0,37,-0.9400000000000004,0.75,Light Heavyweight
Clint Coronel,2,5,0,178.23432467873064,70.31,180.70495018353435,Orthodox,4.93,32.0,5.6,66.0,0.0,0.0,66.0,0.0,38,-0.6699999999999999,0.2857142857142857,Lightweight
Richardson Moreira,7,4,0,187.96,83.91,187.96,Orthodox,1.17,28.0,1.83,67.0,0.0,0.0,100.0,0.0,41,-0.6600000000000001,0.6363636363636364,Middleweight
Amilcar Alves,15,12,0,182.88,77.11,182.88,Southpaw,0.5,46.0,2.02,30.0,0.0,0.0,53.0,0.0,36,-1.52,0.5555555555555556,Welterweight
Bobby Escalante,5,6,0,178.23432467873064,58.97,180.70495018353435,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,0.0,0.45454545454545453,Flyweight
Shauna Bannon,5,1,0,165.1,52.16,165.1,Switch,3.6,37.0,3.73,37.0,0.0,0.0,33.0,0.0,31,-0.1299999999999999,0.8333333333333334,Flyweight
Pedro Falcao,15,3,0,167.64,61.23,167.64,Orthodox,3.02,60.0,0.57,65.0,3.23,60.0,83.0,0.0,32,2.45,0.8333333333333334,Bantamweight
Felipe Silva,8,2,0,182.88,70.31,195.58,Orthodox,5.4,50.0,1.8,59.0,1.0,100.0,71.0,0.0,41,3.6000000000000005,0.8,Lightweight
Peggy Morgan,4,4,0,185.42,61.23,185.42,Orthodox,2.27,23.0,8.2,33.0,0.0,0.0,50.0,0.0,38,-5.93,0.5,Bantamweight
Mason Fowler,2,0,0,180.34,77.11,180.34,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,0.0,1.0,Welterweight
